"SalesReasonID";"Name";"ReasonType";"ModifiedDate"
1;"Price";"Other";"1998-06-01 00:00:00"
2;"On Promotion";"Promotion";"1998-06-01 00:00:00"
3;"Magazine Advertisement";"Marketing";"1998-06-01 00:00:00"
4;"Television  Advertisement";"Marketing";"1998-06-01 00:00:00"
5;"Manufacturer";"Other";"1998-06-01 00:00:00"
6;"Review";"Other";"1998-06-01 00:00:00"
7;"Demo Event";"Marketing";"1998-06-01 00:00:00"
8;"Sponsorship";"Marketing";"1998-06-01 00:00:00"
9;"Quality";"Other";"1998-06-01 00:00:00"
10;"Other";"Other";"1998-06-01 00:00:00"
